epsilon,n_respondents,seed,bias,demographic_imbalance,fallback_cells,cell_proportion_min,cell_proportion_max,cell_proportion_std,raw_frequencies_l1,rr_debiased_l1,poststratified_l1
2.0,250,1018,strong,0.7720000000000001,0,0.048,0.392,0.11817877229952181,0.22400000000000003,0.24779068169794927,0.18608539012398395
2.0,250,1019,strong,0.7800000000000001,0,0.044,0.376,0.11718172022783908,0.216,0.31273552561970586,0.1409859870959268
2.0,250,1020,strong,0.7320000000000001,0,0.024,0.364,0.11495313054554984,0.31200000000000006,0.377111339383861,0.1197072359813306
2.0,250,1021,strong,0.804,0,0.028,0.376,0.12254341634249019,0.055999999999999994,0.10111990395185017,0.21479424815030349
2.0,250,1022,strong,0.884,0,0.032,0.416,0.13795973647731025,0.16,0.15990202108181006,0.13179316603535773
2.0,250,1023,strong,0.8520000000000001,0,0.032,0.412,0.13439576712911094,0.16799999999999998,0.16549571771600535,0.1180461303275604
2.0,250,1024,strong,0.7800000000000001,0,0.044,0.412,0.1274711296289826,0.2,0.2125214114199732,0.03278991214390459
2.0,250,1025,strong,0.8200000000000002,0,0.048,0.428,0.13175060615504666,0.20000000000000004,0.25395340848974596,0.09800352042754343
2.0,250,1026,strong,0.788,0,0.044,0.4,0.12414328638937974,0.168,0.19517129135978603,0.06685182587730767
2.0,250,1027,strong,0.8200000000000002,0,0.044,0.404,0.1269470580815308,0.13600000000000004,0.20692771478577812,0.11497974895176288
2.0,250,1028,strong,0.7960000000000002,0,0.052,0.404,0.122977866120516,0.22400000000000003,0.24779068169794918,0.24228546223794428
2.0,250,1029,strong,0.86,0,0.032,0.376,0.1297519000074972,0.24700000000000005,0.4185433364536336,0.08690202704224223
2.0,500,1000,none,0.07999999999999997,0,0.102,0.21,0.03813426572286691,0.10500000000000004,0.04793148345608564,0.03645206408095228
2.0,500,1001,none,0.148,0,0.08,0.232,0.049754955085454106,0.15300000000000008,0.1302264474380295,0.11336830869124723
