method,bias,epsilon,n_respondents,n_repetitions,l1_mean,l1_std,max_abs_error_mean,max_abs_error_std
poststratified,none,1.0,2000,30,0.06725453658633433,0.0415045542411785,0.033627268293167166,0.020752277120589257
poststratified,none,2.0,250,30,0.1036373271350027,0.06221927542686879,0.05181866356750137,0.031109637713434397
poststratified,none,2.0,500,30,0.06824883997675048,0.032532553178432996,0.03412441998837525,0.016266276589216495
poststratified,none,2.0,1000,30,0.057064291063014756,0.03209274872248775,0.02853214553150738,0.016046374361243867
poststratified,none,2.0,2000,30,0.036201390728630746,0.020952814553575314,0.018100695364315376,0.010476407276787645
poststratified,strong,0.25,250,30,0.8294248549190685,0.31855148672084005,0.41471242745953424,0.15927574336042
poststratified,strong,0.25,500,30,0.7039992678236753,0.2631359998083014,0.35199963391183764,0.13156799990415066
poststratified,strong,0.25,1000,30,0.5041712691661778,0.23336083576637748,0.2520856345830889,0.11668041788318874
poststratified,strong,0.25,2000,30,0.43105971056174075,0.15440141431466053,0.21552985528087037,0.07720070715733025
poststratified,strong,0.5,250,30,0.5226447680712434,0.2428083282936331,0.2613223840356217,0.12140416414681654
poststratified,strong,0.5,500,30,0.3588044394264692,0.196051101159278,0.1794022197132346,0.09802555057963899
poststratified,strong,0.5,1000,30,0.3013594287788745,0.11903838287254662,0.15067971438943725,0.05951919143627332
poststratified,strong,0.5,2000,30,0.19753945036626808,0.11028810849037719,0.09876972518313402,0.05514405424518859
poststratified,strong,1.0,250,30,0.3155420366047122,0.1817190276395748,0.1577710183023561,0.0908595138197874
poststratified,strong,1.0,500,30,0.2541642542570089,0.13095126840199764,0.12708212712850445,0.06547563420099882
poststratified,strong,1.0,1000,30,0.14335887414984114,0.06948665024920049,0.07167943707492057,0.03474332512460025
poststratified,strong,1.0,2000,30,0.10388139605195318,0.05140403528589259,0.05194069802597659,0.025702017642946287
poststratified,strong,2.0,250,30,0.1754898264101953,0.08650881508351677,0.08774491320509764,0.04325440754175838
poststratified,strong,2.0,500,30,0.09851984549054975,0.06312326630905556,0.04925992274527487,0.031561633154527764
poststratified,strong,2.0,1000,30,0.08524415806474779,0.04326939596965072,0.04262207903237389,0.021634697984825365
poststratified,strong,2.0,2000,30,0.05950756098191074,0.025926296064103477,0.02975378049095537,0.012963148032051735
raw_frequencies,moderate,0.25,250,30,0.27270000000000005,0.04973249128743872,0.13635,0.02486624564371937
raw_frequencies,moderate,0.25,500,30,0.2596666666666667,0.03870073806062078,0.12983333333333333,0.019350369030310392
raw_frequencies,moderate,0.25,1000,30,0.26080000000000003,0.026031015982927896,0.1304,0.01301550799146396
raw_frequencies,moderate,0.25,2000,30,0.2654333333333334,0.01970066222120523,0.13271666666666668,0.009850331110602625
raw_frequencies,moderate,0.5,250,30,0.23210000000000006,0.05101815092825229,0.11605,0.025509075464126153
raw_frequencies,moderate,0.5,500,30,0.2303333333333334,0.04282871525711122,0.11516666666666667,0.021414357628555612
raw_frequencies,moderate,0.5,1000,30,0.2296666666666667,0.030342110641168648,0.11483333333333333,0.015171055320584326
raw_frequencies,moderate,0.5,2000,30,0.23910000000000006,0.02321615073978487,0.11955,0.011608075369892449
raw_frequencies,moderate,1.0,250,30,0.19563333333333338,0.053147474286070306,0.09781666666666668,0.026573737143035164
raw_frequencies,moderate,1.0,500,30,0.1857333333333334,0.03859152429130568,0.09286666666666667,0.019295762145652838
raw_frequencies,moderate,1.0,1000,30,0.1862333333333334,0.027822941827815806,0.09311666666666667,0.013911470913907893
raw_frequencies,moderate,1.0,2000,30,0.1788000000000001,0.015658863304850695,0.08940000000000001,0.007829431652425344
raw_frequencies,moderate,2.0,250,30,0.14683333333333337,0.04423454987110019,0.07341666666666669,0.022117274935550105
raw_frequencies,moderate,2.0,500,30,0.1264,0.04003067789100995,0.06320000000000005,0.02001533894550498
raw_frequencies,moderate,2.0,1000,30,0.12280000000000003,0.024790710162172193,0.06140000000000004,0.012395355081086103
raw_frequencies,moderate,2.0,2000,30,0.11966666666666669,0.02430032401278709,0.059833333333333384,0.01215016200639355
raw_frequencies,none,0.25,250,30,0.2719000000000001,0.05441497638676703,0.13595,0.02720748819338352
raw_frequencies,none,0.25,500,30,0.2708666666666667,0.045531143819052745,0.13543333333333332,0.022765571909526373
raw_frequencies,none,0.25,1000,30,0.2591333333333334,0.02627668867677379,0.12956666666666666,0.013138344338386908
raw_frequencies,none,0.25,2000,30,0.2678666666666667,0.018117877118039177,0.13393333333333332,0.009058938559019594
raw_frequencies,none,0.5,250,30,0.24313333333333337,0.04159221854720137,0.12156666666666666,0.020796109273600684
raw_frequencies,none,0.5,500,30,0.2327333333333334,0.03969446529067552,0.11636666666666667,0.019847232645337755
raw_frequencies,none,0.5,1000,30,0.2312666666666667,0.029043289133260375,0.11563333333333332,0.014521644566630191
raw_frequencies,none,0.5,2000,30,0.23626666666666674,0.02252651056335445,0.11813333333333333,0.011263255281677235
raw_frequencies,none,1.0,250,30,0.2022666666666667,0.049977190199428825,0.10113333333333334,0.024988595099714413
raw_frequencies,none,1.0,500,30,0.1887333333333334,0.03364616423630026,0.09436666666666667,0.016823082118150128
raw_frequencies,none,1.0,1000,30,0.18296666666666675,0.02577152041242068,0.09148333333333333,0.012885760206210328
raw_frequencies,none,1.0,2000,30,0.19080000000000005,0.017883531241205466,0.0954,0.008941765620602728
raw_frequencies,none,2.0,250,30,0.10760000000000002,0.04594494456449461,0.05380000000000001,0.022972472282247306
raw_frequencies,none,2.0,500,30,0.09566666666666672,0.03622661750829016,0.047833333333333346,0.018113308754145074
