epsilon,n_respondents,bias,seed,method,l1_error,max_abs_error
0.25,250,strong,1005,raw_frequencies,0.2250000000000001,0.11249999999999999
0.25,250,strong,1005,rr_debiased,0.3749999999999999,0.1875
0.25,250,strong,1005,poststratified,0.8068238111663084,0.40341190558315415
0.25,250,strong,1006,raw_frequencies,0.26400000000000007,0.13200000000000006
0.25,250,strong,1006,rr_debiased,1.1373037253450202,0.5686518626725101
0.25,250,strong,1006,poststratified,0.8400000000000001,0.42000000000000004
0.25,250,strong,1007,raw_frequencies,0.32100000000000006,0.16049999999999998
0.25,250,strong,1007,rr_debiased,0.7849999999999999,0.3925
0.25,250,strong,1007,poststratified,0.6348576576992682,0.3174288288496341
0.25,250,strong,1008,raw_frequencies,0.19300000000000006,0.09649999999999997
0.25,250,strong,1008,rr_debiased,0.37500000000000006,0.1875
0.25,250,strong,1008,poststratified,0.47476638665156956,0.23738319332578478
0.25,250,strong,1009,raw_frequencies,0.281,0.1405
0.25,250,strong,1009,rr_debiased,0.16833402674599052,0.0841670133729952
0.25,250,strong,1009,poststratified,0.8466363393492309,0.42331816967461544
0.25,250,strong,1010,raw_frequencies,0.4010000000000001,0.2005
0.25,250,strong,1010,rr_debiased,0.939982169841944,0.46999108492097197
0.25,250,strong,1010,poststratified,1.625,0.8125
0.25,250,strong,1011,raw_frequencies,0.20800000000000007,0.10400000000000004
0.25,250,strong,1011,rr_debiased,0.9803531540783139,0.490176577039157
0.25,250,strong,1011,poststratified,0.4487891150800331,0.22439455754001653
0.25,250,strong,1012,raw_frequencies,0.09700000000000003,0.04849999999999999
0.25,250,strong,1012,rr_debiased,0.375,0.1875
0.25,250,strong,1012,poststratified,0.624355413087896,0.31217770654394805
0.25,250,strong,1013,raw_frequencies,0.329,0.16449999999999998
0.25,250,strong,1013,rr_debiased,0.7591633729565449,0.3795816864782725
0.25,250,strong,1013,poststratified,0.8400000000000001,0.42000000000000004
0.25,250,strong,1014,raw_frequencies,0.24100000000000005,0.1205
0.25,250,strong,1014,rr_debiased,0.7208283060915683,0.36041415304578417
0.25,250,strong,1014,poststratified,1.16,0.58
0.25,250,strong,1015,raw_frequencies,0.36900000000000005,0.1845
0.25,250,strong,1015,rr_debiased,0.9357058100041108,0.46785290500205534
0.25,250,strong,1015,poststratified,0.4772111962431056,0.2386055981215528
0.25,250,strong,1016,raw_frequencies,0.36100000000000004,0.1805
0.25,250,strong,1016,rr_debiased,1.0933288261510614,0.5466644130755306
0.25,250,strong,1016,poststratified,1.0544776367430104,0.5272388183715052
0.25,250,strong,1017,raw_frequencies,0.38500000000000006,0.1925
0.25,250,strong,1017,rr_debiased,1.3708272659725829,0.6854136329862914
0.25,250,strong,1017,poststratified,1.625,0.8125
0.25,250,strong,1018,raw_frequencies,0.26500000000000007,0.1325
0.25,250,strong,1018,rr_debiased,0.8744035913742974,0.43720179568714873
0.25,250,strong,1018,poststratified,0.8802561153608028,0.4401280576804014
0.25,250,strong,1019,raw_frequencies,0.32100000000000006,0.16049999999999998
0.25,250,strong,1019,rr_debiased,0.8400000000000001,0.42000000000000004
0.25,250,strong,1019,poststratified,0.5303945639781588,0.2651972819890794
0.25,250,strong,1020,raw_frequencies,0.201,0.10049999999999998
0.25,250,strong,1020,rr_debiased,0.6260587150061665,0.31302935750308325
0.25,250,strong,1020,poststratified,0.7849999999999999,0.3925
0.25,250,strong,1021,raw_frequencies,0.25700000000000006,0.1285
0.25,250,strong,1021,rr_debiased,0.3508303863295398,0.17541519316476994
0.25,250,strong,1021,poststratified,0.8193501345955065,0.4096750672977533
0.25,250,strong,1022,raw_frequencies,0.2730000000000001,0.1365
0.25,250,strong,1022,rr_debiased,0.2966659732540091,0.14833298662700467
0.25,250,strong,1022,poststratified,1.0172844995699521,0.5086422497849761
0.25,250,strong,1023,raw_frequencies,0.20900000000000002,0.10449999999999998
0.25,250,strong,1023,rr_debiased,0.44285309630349023,0.22142654815174512
0.25,250,strong,1023,poststratified,0.37499999999999994,0.1875
0.25,250,strong,1024,raw_frequencies,0.321,0.16049999999999998
0.25,250,strong,1024,rr_debiased,0.6308314264485255,0.31541571322426265
0.25,250,strong,1024,poststratified,1.080028047322395,0.5400140236611976
0.25,250,strong,1025,raw_frequencies,0.24900000000000005,0.1245
0.25,250,strong,1025,rr_debiased,0.7208283060915683,0.36041415304578417
0.25,250,strong,1025,poststratified,1.0506339243375358,0.5253169621687679
0.25,250,strong,1026,raw_frequencies,0.281,0.1405
0.25,250,strong,1026,rr_debiased,0.2041664933135024,0.10208324665675117
