config_seed,scenario,epsilon,sample_size,method,n_rows,n_failures,n_skipped,mean_runtime_sec,std_runtime_sec,total_runtime_sec
123,privacy_noise_sparse,0.5,1000,hierarchical_rr_mrp_poststrat,20,0,0,0.8126104149996536,0.03935440501910038,16.25220829999307
123,privacy_noise_sparse,0.5,1000,neural_rr_mrp,20,0,0,0.07785984500005724,0.04107208545215499,1.557196900001145
123,privacy_noise_sparse,1.0,1000,baseline_rr_debias,20,0,0,0.0008050400007050485,0.00012477416412252546,0.01610080001410097
123,privacy_noise_sparse,1.0,1000,mrp_rr_poststrat,20,0,0,0.2588932600003318,0.012319655049285014,5.177865200006636
123,privacy_noise_sparse,1.0,1000,hierarchical_rr_mrp_poststrat,20,0,0,0.8100806449987431,0.05928169182928581,16.20161289997486
123,privacy_noise_sparse,1.0,1000,neural_rr_mrp,20,0,0,0.07713956999978108,0.017634983780642054,1.5427913999956218
123,privacy_noise_sparse,2.0,1000,baseline_rr_debias,20,0,0,0.0008481550004944439,9.743596762803398e-05,0.016963100009888876
123,privacy_noise_sparse,2.0,1000,mrp_rr_poststrat,20,0,0,0.2595507150010235,0.010163835053226702,5.19101430002047
123,privacy_noise_sparse,2.0,1000,hierarchical_rr_mrp_poststrat,20,0,0,0.8020076799988601,0.05683403103342978,16.040153599977202
123,privacy_noise_sparse,2.0,1000,neural_rr_mrp,20,0,0,0.08213897499990708,0.022107792547787195,1.6427794999981415
123,simple_linear,0.5,1000,baseline_rr_debias,20,0,0,0.0008615699996880721,0.00012849913000829842,0.017231399993761443
123,simple_linear,0.5,1000,mrp_rr_poststrat,20,0,0,0.25752995999973793,0.010945924498933203,5.150599199994758
123,simple_linear,0.5,1000,hierarchical_rr_mrp_poststrat,20,0,0,0.8009393049997016,0.03712416903190917,16.01878609999403
123,simple_linear,0.5,1000,neural_rr_mrp,20,0,0,0.09303797500033398,0.031052996832832414,1.8607595000066794
123,simple_linear,1.0,1000,baseline_rr_debias,20,0,0,0.0008080649993644328,0.00014618827922552855,0.016161299987288658
123,simple_linear,1.0,1000,mrp_rr_poststrat,20,0,0,0.2584882449998986,0.013135970625973206,5.169764899997972
123,simple_linear,1.0,1000,hierarchical_rr_mrp_poststrat,20,0,0,0.7995710149985825,0.0586800804318808,15.99142029997165
123,simple_linear,1.0,1000,neural_rr_mrp,20,0,0,0.09771382999933849,0.02860730665304781,1.9542765999867697
123,simple_linear,2.0,1000,baseline_rr_debias,20,0,0,0.000824415000533918,0.00016590892672955406,0.01648830001067836
123,simple_linear,2.0,1000,mrp_rr_poststrat,20,0,0,0.2575517650002439,0.01086282971789916,5.151035300004878
123,simple_linear,2.0,1000,hierarchical_rr_mrp_poststrat,20,0,0,0.8029300199985301,0.06250635460405611,16.0586003999706
123,simple_linear,2.0,1000,neural_rr_mrp,20,0,0,0.10130228000089118,0.032170063619137344,2.0260456000178237
