epsilon,mean_n_effective,mean_overall_l1,mean_overall_mae,mean_p90_age_l1_major,mean_p90_region_l1_major,mean_runtime_sec,mean_weighted_age_l1,mean_weighted_region_l1,mean_winner_correct,mean_worst_age_l1,mean_worst_age_l1_major,mean_worst_region_l1,mean_worst_region_l1_major,method,n_rows,n_sample,preset,scenario,scenario_label,std_overall_l1,std_overall_mae,std_p90_age_l1_major,std_p90_region_l1_major,std_runtime_sec,std_weighted_age_l1,std_weighted_region_l1,std_winner_correct,std_worst_age_l1,std_worst_age_l1_major,std_worst_region_l1,std_worst_region_l1_major
0.5,500.0,0.4058988165073597,0.08117976330147195,1.6405295088797958,1.1124527373887234,0.0010621930000525026,0.9999026275154315,0.9302352751148173,0.0,1.6405295088797958,1.6405295088797958,1.4829665590919912,1.3167114051977942,baseline_rr_debias,1,500,full,shy_fixed,shy_voter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,500.0,0.23040008955895908,0.04608001791179182,0.46614289320266367,0.7294132894189176,0.002329814999939117,0.318548138025403,0.41589071259796623,0.0,0.46614289320266367,0.46614289320266367,0.9289408012587119,0.9289408012587119,mrp_rr_poststrat,1,500,full,shy_fixed,shy_voter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,500.0,0.21349419980055434,0.04269883996011087,0.46318203060695134,0.633451595084128,2.0764563460002137,0.33146304074518346,0.42241828301561946,1.0,0.46318203060695134,0.46318203060695134,0.9373480268911647,0.9373480268911647,mrp_misreport_rr_poststrat,1,500,full,shy_fixed,shy_voter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,500.0,0.23135969726230698,0.0462719394524614,0.48310912386938343,0.6440085873963467,0.004988467000202945,0.34204474623009495,0.4290109538201113,0.0,0.48310912386938343,0.48310912386938343,0.95075337057288,0.95075337057288,mrp_learned_misreport_rr_poststrat,1,500,full,shy_fixed,shy_voter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,500.0,0.21800616409795617,0.04360123281959123,0.46156076528734985,0.7137705677658085,0.015689628000018274,0.3284706421584449,0.4405537736324454,0.0,0.46156076528734985,0.46156076528734985,0.9518217820074877,0.9518217820074877,neural_rr_mrp,1,500,full,shy_fixed,shy_voter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,500.0,0.14160000000000006,0.028320000000000012,0.5533822330888345,0.48750155453301836,0.0003434370000832132,0.3290889254894812,0.35994406869925477,0.0,0.5533822330888345,0.5533822330888345,0.557457627118644,0.557457627118644,raw_reported_distribution,1,500,full,shy_fixed,shy_voter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,500.0,0.14607440964863844,0.02921488192972769,1.0001904976907854,0.8498727735368958,0.0010762490001070546,0.6866306144785789,0.6098253520510488,0.0,1.0001904976907854,1.0001904976907854,1.2506249514136973,1.2506249514136973,baseline_rr_debias,1,500,full,shy_fixed,shy_voter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,500.0,0.08535496639609343,0.017070993279218686,0.4360350251316313,0.5493440375489704,0.06671916699997382,0.2642471414923668,0.36338729364275935,0.0,0.4360350251316313,0.4360350251316313,0.8589581881853986,0.8589581881853986,mrp_rr_poststrat,1,500,full,shy_fixed,shy_voter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,500.0,0.2130959085720113,0.04261918171440226,0.46319152709047523,0.6331650415587482,2.5009954020001715,0.33105350109653264,0.42204545682824396,1.0,0.46319152709047523,0.46319152709047523,0.9362422920678914,0.9362422920678914,mrp_misreport_rr_poststrat,1,500,full,shy_fixed,shy_voter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,500.0,0.2291883236015496,0.045837664720309916,0.4812172916934475,0.6426012438054847,0.0036634339999181975,0.3410175586104672,0.428078200925462,0.0,0.4812172916934475,0.4812172916934475,0.9492181459013629,0.9492181459013629,mrp_learned_misreport_rr_poststrat,1,500,full,shy_fixed,shy_voter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
